Order Item ID,O.E.:,Job #:,Customer:,Qty.:,Part #,Rev,Contact:,DWG Rel.,M,Descriptions:,Price:,P.O. :,Packing Slip,Qty.:,Invoice:,Del. Req'd:,Del. Ship'd:,Delay:
736,38636,71718,Woodbridge,46500,RTD-3040/3033,,James Kearns,12/10/2024,2,Puffer Caps & Nozzles  34 x 50 Mesh,$3.44 ,PD-20551,,,,1-Dec-25,,
,,,,,,,,,,,,,,,,,,
741,38647,71742,Candu,5,RT-87920-0351-01-GA-D,0,David Weldon,12/3/2024,1,CTI Bore Gauge,"$35,171.00 ",RT98-87920-PN-R006-R.2,,,,21-Mar-25,,
,,,,,,,,,,,,,,,,,,
742,38669,71829,Candu,9,RT-87540-0200-01-GA-E,1,David Weldon,12/23/2024,1,Removal PA Tool Cart-RT-7538-000-PRT,"$16,293.00 ",RT98-87540-PN-R001,,,,2-May-25,,
,,,,,,,,,,,,,,,,,,
743,38672,71851,Candu,2,RT-87550-0100-01-GA-E,0,Brandon Kwakye-Longdon,12/30/2024,1,Bellows Cutting Tool (SFCR),"$141,549.74 ",RT79-87550-PN-R001,,,,4-Jul-25,,
746,38672,71873,Candu,Lot,Spare parts,,Brandon Kwakye,0109/25,2,To Capture cost for Spare parts,Included,RT79-87550-PN-R001,,,,4-Jul-25,,
786,38672,72330,Candu,1 + 1,RT-87550-0145-01-GA-E,,Brandon Kwakye,4/24/2025,5,Shell Installation Tool Assy,"$1,950.00 ",RT79-87550-PN-R001-R.1,,,,21-Jul-25,,
,,,,,,,,,,,,,,,,,,
744,38673,71852,Candu,3,RT-87900-0400-1-GA-E,6,Barbara Vaz,12/30/2024,1,C6- Bore Gauge,"$26,451.00 ",RT79-87900-PN-R003-r.1,,,,31-Jul-25,,
745,38673,71853,Candu,2,RT-87900-0500-01-GA-E,3,Barbara Vaz,12/30/2024,2,C6 Bore Gauge- Narrow Landing,"$26,795.00 ",RT79-87900-PN-R003-r.1,,,,31-Jul-25,,
,,,,,,,,,,,,,,,,,,
748,38740,72023,Candu,2,RT-87550-0100-01-GA-E,0,Sanchai Bartley-Ndiaye,2/11/2025,1,Bellows Cutting Tool (SFCR),"$141,549.74 ",RT98-87550-PN-R004-R.1,,,,19-Sep-25,,
749,38740,72024,Candu,Lot,Spare parts,,Sanchai Bartley-Ndiaye,02/1125,2,To Capture cost for Spare parts,Included,RT98-87550-PN-R004-R.1,,,,19-Sep-25,,
